,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,BCO,-0.017293558149589217,46.224999999999994,0.012928248,1.8182001,0.6,0.6,0.64458907,10.450575,0.93,0.0128999995,0.00491,4.35,2.204,0.332,20.626135,1.39,136.92772,0.032
0,BCS,-0.059782608695651995,5.21,0.011281071,0.4593,0.059,,,4.675676,,,0.11045,1.11,19.564,0.112,0.2652832,,46.339283,-0.757
0,BDX,0.003158748452640081,230.04000000000002,0.013436604,1.1094999,3.14,3.16,4.0268435,18.74083,1.37,0.0135,0.05367,12.54,82.865,2.835,2.8360586,3.67,82.89594,-0.366
0,BEDU,-0.021212121212121127,6.47,,0.3224,,0.12,,11.535714,,0.0183,0.07674,0.56,3.394,0.307,1.9033588,6.62,21.042345,-0.438
0,BEN,0.11205273069679866,23.340000000000003,0.045706965,0.39020002,1.07,1.08,2.1695476,8.258741,2.8,0.0461,0.19037001,2.86,20.417,2.052,1.1568791,-1.64,11.510721,0.181
0,BERY,-0.04256936526035715,50.405,,0,,,0.569999,9.897839,,,0.0506,5.09,14.084,4.392,3.5771089,0.67,11.470856,13.692
0,BFAM,0.146795012032378,124.48,,0,,,5.1847134,49.76582,,,0.06555,3.16,19.921,2.016,7.8941817,36.61,78.00595,-0.993
0,BFO,-0.0013568521031207537,14.92,0.00916497,0.3176,0.135,0.03,33.79533,,2.16,0.002,0.8307,,14.819,0.362,0.9933194,,40.662987,0.749
0,BFS,-0.03451995685005382,26.805,0.07825766,1.5703999,2.12,2.12,2.7834153,8.2615385,3.96,0.076799996,0.20838,3.25,8.016,1.351,3.349551,,19.874168,-0.371
0,BFY,0.00870827285921627,13.92,0.04230246,0.3186,0.588,0.73,13.585547,,4.78,0.052199997,1.81553,,16.204,1.858,0.8578128,,7.481162,1.258
0,BFZ,-0.01861504095309008,13.18,0.035579108,0.4319,0.47,0.46,16.085659,,4.84,0.0345,1.28536,,15.859,1.053,0.8310738,,12.51662,-0.794
0,BGS,-0.019031719532554225,29.384999999999998,0.06547209,1.0734,1.9,1.9,1.0254389,15.066666,6.45,0.0655,0.0622,1.95,12.736,1.778,2.3068466,2.28,16.524183,1.461
0,BGSF,-0.04933196300102782,9.235,0.07633588,2.7143,0.7,0.2,0.33095592,10.054348,6.3,0.0218,0.01255,0.92,5.988,0.351,1.5447562,-7.6,26.353275,
